n,evmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
4,0,0.051420436942121929,0.0893518215057438753,0.0292826664396136603,0.0325340808439793447
5,0.0444145782649631657,0.110624445332867791,0.125918866453541584,0.0504464287276942813,0.105202791245551902
6,0.0848965696462253006,0.106630245522490591,0.179584484094730767,0.0880090928398441774,0.107306302433549314
7,0.116953853036583844,0.18682851186136365,0.227197213937202325,0.148039417842032922,0.163416604642036944
8,0.174278915786633959,0.26996184506407106,0.281758179121067209,0.225944628531733027,0.24044220740915892
9,0.280941454912826849,0.320532262241493004,0.31864620900591506,0.300768343259019411,0.300264278623440406
10,0.343474106762493958,0.349554805332548735,0.355934771664544514,0.333834733842957698,0.340657272714811554
