n,evwinners,gwwinners,gewinners,owwinners,oewinners
4,1,0.949999999999999956,0.900000000000000022,0.974999999999999978,0.966666666666666674
5,0.953333333333333366,0.896666666666666723,0.878333333333333299,0.953333333333333366,0.896666666666666723
6,0.94111111111111112,0.91333333333333333,0.834444444444444433,0.924444444444444402,0.91333333333333333
7,0.885714285714285676,0.826984126984126933,0.78214285714285714,0.86111111111111116,0.849206349206349187
8,0.824999999999999956,0.740773809523809446,0.727678571428571397,0.779166666666666674,0.769642857142857073
9,0.72916666666666663,0.693518518518518534,0.702314814814814836,0.721296296296296324,0.723148148148148096
10,0.665555555555555567,0.661882716049382647,0.652808641975308634,0.679814814814814761,0.677314814814814703
