n,evefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0.00368254132689177721,0.150226372396003366,0,0.123683798525436026
3,0,0.0152008662585061197,0.11777774423818349,0,0.087771749457652079
4,0,0.00367135897464285774,0.111941162435967995,0,0.0972786551900378382
5,0,0.013160626606263116,0.0520089699370565595,0,0.0350643244590362405
6,0,0.0072018425475002994,0.0371685637708122074,0,0.0243716577679712297
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
