n,evef,gwef,geef,owef,oeef
2,0,0.00555555555555555663,0.115555555555555564,0,0.10111111111111111
3,0,0.0144444444444444455,0.0755555555555555564,0,0.0622222222222222274
4,0,0.00333333333333333311,0.0666666666666666657,0,0.0599999999999999978
5,0,0.00833333333333333495,0.0183333333333333334,0,0.0116666666666666689
6,0,0.0100000000000000002,0.0200000000000000039,0,0.0133333333333333342
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
