n,evwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
4,1,0.948637220677695625,0.865114718182847131,0.984155324133119347,0.934087905817329478
5,0.97396363492584781,0.923161225758705628,0.901391441082751044,0.975187113282552698,0.927933753373689774
6,0.963588051328285289,0.931066859067315455,0.855252044491956798,0.954324381840992886,0.924014527753175607
7,0.930756134940345481,0.879527226309963162,0.843852744918796138,0.917303131753550716,0.904989727280709255
8,0.905406189025423469,0.841180333623014587,0.823839722215887416,0.872591544008695763,0.863873570248088529
9,0.851231559356518508,0.817813091714629126,0.823321208997281118,0.844275861073215728,0.844146909625942299
10,0.825067983259477944,0.816017937353003098,0.811895322558310872,0.83524981506251883,0.833268701381851939
